"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5834","TC_LOGIN_021: Click Forgot Password → redirect đúng trang","chromium","Wed May 27 04:05:08 UTC 2026","failed","Wed May 27 04:05:14 UTC 2026","CRM Authentication - Login Tests","auth/crm-login.spec.ts","",""
"","5852","TC_LOGIN_026: Logout redirect về trang Login","chromium","Wed May 27 04:06:47 UTC 2026","failed","Wed May 27 04:06:52 UTC 2026","CRM Authentication - Login Tests","auth/crm-login.spec.ts","",""
"","5852","TC_LOGIN_015: Cả Email và Password đều sai","chromium","Wed May 27 04:04:09 UTC 2026","failed","Wed May 27 04:04:15 UTC 2026","CRM Authentication - Login Tests","auth/crm-login.spec.ts","",""
"","5931","TC_LOGIN_020: Đã login → truy cập login → redirect Dashboard","chromium","Wed May 27 04:04:48 UTC 2026","failed","Wed May 27 04:04:54 UTC 2026","CRM Authentication - Login Tests","auth/crm-login.spec.ts","",""
"","5889","TC_LOGIN_016: Email >500 ký tự","chromium","Wed May 27 04:04:29 UTC 2026","failed","Wed May 27 04:04:35 UTC 2026","CRM Authentication - Login Tests","auth/crm-login.spec.ts","",""
"","5873","TC_LOGIN_003: HTML5 validation khi email thiếu domain","chromium","Wed May 27 04:01:12 UTC 2026","failed","Wed May 27 04:01:18 UTC 2026","CRM Authentication - Login Tests","auth/crm-login.spec.ts","",""
"","5860","TC_LOGIN_022: Forgot Password email hợp lệ","chromium","Wed May 27 04:05:28 UTC 2026","failed","Wed May 27 04:05:34 UTC 2026","CRM Authentication - Login Tests","auth/crm-login.spec.ts","",""
"","5876","TC_LOGIN_012: Lỗi khi trống cả Email và Password","chromium","Wed May 27 04:03:10 UTC 2026","failed","Wed May 27 04:03:16 UTC 2026","CRM Authentication - Login Tests","auth/crm-login.spec.ts","",""
"","5908","TC_LOGIN_001: Verify trang Login hiển thị đầy đủ","chromium","Wed May 27 04:00:32 UTC 2026","failed","Wed May 27 04:00:38 UTC 2026","CRM Authentication - Login Tests","auth/crm-login.spec.ts","",""
"","5894","TC_LOGIN_010: Lỗi server-side khi trống Email","chromium","Wed May 27 04:02:31 UTC 2026","failed","Wed May 27 04:02:37 UTC 2026","CRM Authentication - Login Tests","auth/crm-login.spec.ts","",""
"","6014","TC_LOGIN_025: HTML5 validation email sai format trên Forgot Password","chromium","Wed May 27 04:06:27 UTC 2026","failed","Wed May 27 04:06:33 UTC 2026","CRM Authentication - Login Tests","auth/crm-login.spec.ts","",""
"","5866","TC_LOGIN_011: Lỗi server-side khi trống Password","chromium","Wed May 27 04:02:50 UTC 2026","failed","Wed May 27 04:02:56 UTC 2026","CRM Authentication - Login Tests","auth/crm-login.spec.ts","",""
"","5898","TC_LOGIN_014: Email sai, Password đúng","chromium","Wed May 27 04:03:50 UTC 2026","failed","Wed May 27 04:03:55 UTC 2026","CRM Authentication - Login Tests","auth/crm-login.spec.ts","",""
"","5842","TC_LOGIN_002: HTML5 validation khi email không có @","chromium","Wed May 27 04:00:52 UTC 2026","failed","Wed May 27 04:00:58 UTC 2026","CRM Authentication - Login Tests","auth/crm-login.spec.ts","",""
"","5828","TC_LOGIN_024: Forgot Password email không tồn tại","chromium","Wed May 27 04:06:07 UTC 2026","failed","Wed May 27 04:06:13 UTC 2026","CRM Authentication - Login Tests","auth/crm-login.spec.ts","",""
"","5826","TC_LOGIN_009: Đăng nhập thành công","chromium","Wed May 27 04:02:11 UTC 2026","failed","Wed May 27 04:02:17 UTC 2026","CRM Authentication - Login Tests","auth/crm-login.spec.ts","",""
"","5836","TC_LOGIN_023: HTML5 validation Forgot Password trống email","chromium","Wed May 27 04:05:48 UTC 2026","failed","Wed May 27 04:05:53 UTC 2026","CRM Authentication - Login Tests","auth/crm-login.spec.ts","",""
"","5872","TC_LOGIN_027: Back button sau Logout không quay lại Dashboard","chromium","Wed May 27 04:07:06 UTC 2026","failed","Wed May 27 04:07:12 UTC 2026","CRM Authentication - Login Tests","auth/crm-login.spec.ts","",""
"","5856","TC_LOGIN_004: Password field hiển thị masked","chromium","Wed May 27 04:01:31 UTC 2026","failed","Wed May 27 04:01:37 UTC 2026","CRM Authentication - Login Tests","auth/crm-login.spec.ts","",""
"","5842","TC_CUSTOMER_001: Add new Customer thành công","chromium","Wed May 27 04:07:26 UTC 2026","failed","Wed May 27 04:07:32 UTC 2026","CRM Customers - Customer Management","customers/customer.spec.ts","",""
"","5880","TC_LOGIN_013: Email đúng, Password sai","chromium","Wed May 27 04:03:30 UTC 2026","failed","Wed May 27 04:03:36 UTC 2026","CRM Authentication - Login Tests","auth/crm-login.spec.ts","",""
"","5836","TC_LOGIN_005: Remember me mặc định unchecked","chromium","Wed May 27 04:01:51 UTC 2026","failed","Wed May 27 04:01:57 UTC 2026","CRM Authentication - Login Tests","auth/crm-login.spec.ts","",""
